Channel,Time,Phase,ADC,TOT,ToA
40,162.5,7,110,0,0
40,164.0625,7,109,0,0
40,187.5,7,106,0,0
40,189.0625,7,106,0,0
40,214.0625,7,106,0,0
40,237.5,7,104,0,0
40,239.0625,7,104,0,0
41,12.5,7,94,0,0
41,14.0625,7,95,0,0
41,37.5,7,94,0,0
41,39.0625,7,94,0,0
41,62.5,7,95,0,0
41,64.0625,7,95,0,0
41,87.5,7,152,0,0
41,89.0625,7,161,0,0
41,112.5,7,141,0,315
41,114.0625,7,136,0,256
41,137.5,7,114,0,0
41,139.0625,7,114,0,0
41,162.5,7,106,0,0
41,164.0625,7,107,0,0
41,187.5,7,102,0,0
41,189.0625,7,105,0,0
41,212.5,7,102,0,0
41,214.0625,7,102,0,0
41,237.5,7,100,0,0
41,239.0625,7,98,0,0
42,12.5,7,101,0,0
42,14.0625,7,101,0,0
42,37.5,7,101,0,0
42,39.0625,7,101,0,0
42,62.5,7,99,0,0
42,64.0625,7,101,0,0
42,87.5,7,151,0,0
42,89.0625,7,160,0,0
42,112.5,7,142,0,362
42,114.0625,7,139,0,272
42,137.5,7,116,0,0
42,139.0625,7,118,0,0
42,162.5,7,111,0,0
42,164.0625,7,111,0,0
42,187.5,7,109,0,0
42,189.0625,7,109,0,0
42,212.5,7,108,0,0
42,214.0625,7,106,0,0
42,237.5,7,106,0,0
42,239.0625,7,106,0,0
43,12.5,7,95,0,0
43,14.0625,7,95,0,0
43,37.5,7,95,0,0
43,39.0625,7,94,0,0
43,62.5,7,95,0,0
43,64.0625,7,95,0,0
43,87.5,7,152,0,0
43,89.0625,7,160,0,0
43,112.5,7,140,0,256
43,114.0625,7,138,0,197
43,137.5,7,114,0,0
43,139.0625,7,114,0,0
43,162.5,7,109,0,0
43,164.0625,7,108,0,0
43,187.5,7,104,0,0
43,189.0625,7,101,0,0
43,212.5,7,102,0,0
43,214.0625,7,101,0,0
43,237.5,7,100,0,0
43,239.0625,7,101,0,0
44,12.5,7,97,0,0
44,14.0625,7,97,0,0
44,37.5,7,96,0,0
44,39.0625,7,97,0,0
44,62.5,7,97,0,0
44,64.0625,7,98,0,0
44,87.5,7,153,0,0
44,89.0625,7,162,0,0
44,112.5,7,141,0,256
44,114.0625,7,138,0,178
44,137.5,7,116,0,0
44,139.0625,7,114,0,0
44,162.5,7,108,0,0
44,164.0625,7,108,0,0
44,187.5,7,104,0,0
44,189.0625,7,104,0,0
44,212.5,7,104,0,0
44,214.0625,7,102,0,0
44,237.5,7,104,0,0
44,239.0625,7,102,0,0
45,12.5,7,101,0,0
45,14.0625,7,102,0,0
45,37.5,7,102,0,0
45,39.0625,7,100,0,0
45,62.5,7,101,0,0
45,64.0625,7,100,0,0
45,87.5,7,154,0,0
45,89.0625,7,159,0,0
45,112.5,7,140,0,256
45,114.0625,7,137,0,218
45,137.5,7,118,0,0
45,139.0625,7,114,0,0
45,162.5,7,111,0,0
45,164.0625,7,112,0,0
45,187.5,7,109,0,0
45,189.0625,7,106,0,0
45,212.5,7,106,0,0
45,214.0625,7,106,0,0
45,237.5,7,106,0,0
45,239.0625,7,108,0,0
46,12.5,7,100,0,0
46,14.0625,7,100,0,0
46,37.5,7,101,0,0
46,39.0625,7,100,0,0
46,62.5,7,97,0,0
46,64.0625,7,98,0,0
46,87.5,7,153,0,0
46,89.0625,7,164,0,0
46,112.5,7,141,0,269
46,114.0625,7,141,0,193
46,137.5,7,118,0,0
46,139.0625,7,117,0,0
46,162.5,7,111,0,0
46,164.0625,7,111,0,0
46,187.5,7,107,0,0
46,189.0625,7,107,0,0
46,212.5,7,105,0,0
46,214.0625,7,106,0,0
46,237.5,7,104,0,0
46,239.0625,7,106,0,0
47,12.5,7,95,0,0
47,14.0625,7,94,0,0
47,37.5,7,94,0,0
47,39.0625,7,94,0,0
47,62.5,7,95,0,0
47,64.0625,7,95,0,0
47,87.5,7,170,0,0
47,89.0625,7,174,0,0
47,112.5,7,138,0,218
47,114.0625,7,134,0,98
47,137.5,7,113,0,0
47,139.0625,7,113,0,0
47,162.5,7,105,0,0
47,164.0625,7,105,0,0
47,187.5,7,103,0,0
47,189.0625,7,103,0,0
47,212.5,7,101,0,0
47,214.0625,7,101,0,0
47,237.5,7,100,0,0
47,239.0625,7,100,0,0
48,12.5,7,98,0,0
48,14.0625,7,98,0,0
48,37.5,7,98,0,0
48,39.0625,7,99,0,0
48,62.5,7,98,0,0
48,64.0625,7,99,0,0
48,87.5,7,150,0,0
48,89.0625,7,160,0,0
48,112.5,7,138,0,269
48,114.0625,7,137,0,194
48,137.5,7,115,0,0
48,139.0625,7,113,0,0
48,162.5,7,109,0,0
48,164.0625,7,109,0,0
48,187.5,7,108,0,0
48,189.0625,7,107,0,0
48,212.5,7,106,0,0
48,214.0625,7,104,0,0
48,237.5,7,104,0,0
48,239.0625,7,104,0,0
49,12.5,7,100,0,0
49,14.0625,7,100,0,0
49,37.5,7,100,0,0
49,39.0625,7,101,0,0
49,62.5,7,101,0,0
49,64.0625,7,100,0,0
49,87.5,7,149,0,0
49,89.0625,7,160,0,0
49,112.5,7,139,0,256
49,114.0625,7,139,0,219
49,137.5,7,118,0,0
49,139.0625,7,116,0,0
49,162.5,7,110,0,0
49,164.0625,7,111,0,0
49,187.5,7,109,0,0
49,189.0625,7,107,0,0
49,212.5,7,107,0,0
49,214.0625,7,106,0,0
49,237.5,7,105,0,0
49,239.0625,7,105,0,0
50,12.5,7,95,0,0
50,14.0625,7,97,0,0
50,37.5,7,95,0,0
50,39.0625,7,95,0,0
50,62.5,7,95,0,0
50,64.0625,7,97,0,0
50,87.5,7,152,0,0
50,89.0625,7,162,0,0
50,112.5,7,140,0,256
50,114.0625,7,137,0,189
50,137.5,7,115,0,0
50,139.0625,7,116,0,0
50,162.5,7,109,0,0
50,164.0625,7,107,0,0
50,187.5,7,104,0,0
